room,noted_date,temperature,in_out,date
Room Admin,2018-12-08 03:27:00,29,In,2018-12-08
Room Admin,2018-12-08 03:27:00,29,In,2018-12-08
Room Admin,2018-12-08 03:21:00,29,In,2018-12-08
Room Admin,2018-12-08 03:21:00,29,In,2018-12-08
Room Admin,2018-12-08 03:19:00,29,In,2018-12-08
Room Admin,2018-12-08 03:19:00,29,In,2018-12-08
Room Admin,2018-12-08 03:17:00,29,In,2018-12-08
Room Admin,2018-12-08 03:17:00,29,In,2018-12-08
Room Admin,2018-12-08 03:15:00,29,In,2018-12-08
Room Admin,2018-12-08 03:15:00,29,In,2018-12-08
Room Admin,2018-12-08 03:11:00,29,In,2018-12-08
Room Admin,2018-12-08 03:11:00,29,In,2018-12-08
Room Admin,2018-12-08 03:07:00,29,In,2018-12-08
Room Admin,2018-12-08 03:07:00,29,In,2018-12-08
Room Admin,2018-12-08 03:05:00,29,In,2018-12-08
Room Admin,2018-12-08 03:05:00,29,In,2018-12-08
Room Admin,2018-12-08 02:59:00,29,In,2018-12-08
Room Admin,2018-12-08 02:59:00,29,In,2018-12-08
Room Admin,2018-12-08 02:51:00,29,In,2018-12-08
Room Admin,2018-12-08 02:51:00,29,In,2018-12-08
Room Admin,2018-12-08 02:49:00,29,In,2018-12-08
Room Admin,2018-12-08 02:49:00,29,In,2018-12-08
Room Admin,2018-12-08 02:47:00,29,In,2018-12-08
Room Admin,2018-12-08 02:47:00,29,In,2018-12-08
Room Admin,2018-12-08 02:43:00,29,In,2018-12-08
Room Admin,2018-12-08 02:43:00,29,In,2018-12-08
Room Admin,2018-12-08 02:39:00,29,In,2018-12-08
Room Admin,2018-12-08 02:39:00,29,In,2018-12-08
Room Admin,2018-12-08 02:37:00,29,In,2018-12-08
Room Admin,2018-12-08 02:37:00,29,In,2018-12-08
Room Admin,2018-12-08 02:35:00,29,In,2018-12-08
Room Admin,2018-12-08 02:35:00,29,In,2018-12-08
Room Admin,2018-12-08 02:33:00,29,In,2018-12-08
Room Admin,2018-12-08 02:33:00,29,In,2018-12-08
Room Admin,2018-12-08 02:31:00,29,In,2018-12-08
Room Admin,2018-12-08 02:31:00,29,In,2018-12-08
Room Admin,2018-12-08 02:29:00,29,In,2018-12-08
Room Admin,2018-12-08 02:29:00,29,In,2018-12-08
Room Admin,2018-12-08 02:27:00,29,In,2018-12-08
Room Admin,2018-12-08 02:27:00,29,In,2018-12-08
Room Admin,2018-12-08 02:23:00,29,In,2018-12-08
Room Admin,2018-12-08 02:23:00,29,In,2018-12-08
Room Admin,2018-12-08 02:21:00,29,In,2018-12-08
Room Admin,2018-12-08 02:21:00,29,In,2018-12-08
Room Admin,2018-12-08 02:19:00,29,In,2018-12-08
Room Admin,2018-12-08 02:19:00,29,In,2018-12-08
Room Admin,2018-12-08 02:15:00,29,In,2018-12-08
Room Admin,2018-12-08 02:15:00,29,In,2018-12-08
Room Admin,2018-12-08 02:14:00,30,In,2018-12-08
Room Admin,2018-12-08 02:14:00,30,In,2018-12-08
Room Admin,2018-12-08 02:13:00,30,In,2018-12-08
Room Admin,2018-12-08 02:12:00,30,In,2018-12-08
Room Admin,2018-12-08 02:09:00,29,In,2018-12-08
Room Admin,2018-12-08 02:09:00,29,In,2018-12-08
Room Admin,2018-12-08 02:07:00,29,In,2018-12-08
Room Admin,2018-12-08 02:07:00,29,In,2018-12-08
Room Admin,2018-12-08 02:05:00,29,In,2018-12-08
Room Admin,2018-12-08 02:05:00,29,In,2018-12-08
Room Admin,2018-12-08 02:03:00,29,In,2018-12-08
Room Admin,2018-12-08 02:03:00,29,In,2018-12-08
Room Admin,2018-12-08 01:59:00,29,In,2018-12-08
Room Admin,2018-12-08 01:59:00,29,In,2018-12-08
Room Admin,2018-12-08 01:57:00,29,In,2018-12-08
Room Admin,2018-12-08 01:57:00,29,In,2018-12-08
Room Admin,2018-12-08 01:55:00,29,In,2018-12-08
Room Admin,2018-12-08 01:55:00,29,In,2018-12-08
Room Admin,2018-12-08 01:53:00,29,In,2018-12-08
Room Admin,2018-12-08 01:53:00,29,In,2018-12-08
Room Admin,2018-12-08 01:51:00,29,In,2018-12-08
Room Admin,2018-12-08 01:51:00,29,In,2018-12-08
Room Admin,2018-12-08 01:45:00,29,In,2018-12-08
Room Admin,2018-12-08 01:45:00,29,In,2018-12-08
Room Admin,2018-12-08 01:43:00,29,In,2018-12-08
Room Admin,2018-12-08 01:43:00,29,In,2018-12-08
Room Admin,2018-12-08 01:40:00,30,In,2018-12-08
Room Admin,2018-12-08 01:40:00,30,In,2018-12-08
Room Admin,2018-12-08 01:39:00,29,In,2018-12-08
Room Admin,2018-12-08 01:39:00,29,In,2018-12-08
Room Admin,2018-12-08 01:38:00,30,In,2018-12-08
Room Admin,2018-12-08 01:38:00,30,In,2018-12-08
Room Admin,2018-12-08 01:37:00,29,In,2018-12-08
Room Admin,2018-12-08 01:37:00,29,In,2018-12-08
Room Admin,2018-12-08 01:36:00,30,In,2018-12-08
Room Admin,2018-12-08 01:36:00,30,In,2018-12-08
Room Admin,2018-12-08 01:34:00,30,In,2018-12-08
Room Admin,2018-12-08 01:34:00,30,In,2018-12-08
Room Admin,2018-12-08 01:31:00,29,In,2018-12-08
Room Admin,2018-12-08 01:31:00,29,In,2018-12-08
Room Admin,2018-12-08 01:29:00,29,In,2018-12-08
Room Admin,2018-12-08 01:29:00,29,In,2018-12-08
Room Admin,2018-12-08 01:28:00,30,In,2018-12-08
Room Admin,2018-12-08 01:28:00,30,In,2018-12-08
Room Admin,2018-12-08 01:23:00,29,In,2018-12-08
Room Admin,2018-12-08 01:23:00,29,In,2018-12-08
Room Admin,2018-12-08 01:21:00,29,In,2018-12-08
Room Admin,2018-12-08 01:21:00,29,In,2018-12-08
Room Admin,2018-12-08 01:19:00,29,In,2018-12-08
Room Admin,2018-12-08 01:19:00,29,In,2018-12-08
Room Admin,2018-12-08 01:17:00,29,In,2018-12-08
Room Admin,2018-12-08 01:17:00,29,In,2018-12-08
Room Admin,2018-12-08 01:15:00,29,In,2018-12-08
Room Admin,2018-12-08 01:15:00,29,In,2018-12-08
Room Admin,2018-12-08 01:09:00,29,In,2018-12-08
Room Admin,2018-12-08 01:09:00,29,In,2018-12-08
Room Admin,2018-12-08 01:03:00,29,In,2018-12-08
Room Admin,2018-12-08 01:03:00,29,In,2018-12-08
Room Admin,2018-12-08 00:59:00,29,In,2018-12-08
Room Admin,2018-12-08 00:59:00,29,In,2018-12-08
Room Admin,2018-12-08 00:55:00,29,In,2018-12-08
Room Admin,2018-12-08 00:55:00,29,In,2018-12-08
Room Admin,2018-12-08 00:49:00,29,In,2018-12-08
Room Admin,2018-12-08 00:49:00,29,In,2018-12-08
Room Admin,2018-12-08 00:47:00,29,In,2018-12-08
Room Admin,2018-12-08 00:47:00,29,In,2018-12-08
Room Admin,2018-12-08 00:43:00,29,In,2018-12-08
Room Admin,2018-12-08 00:43:00,29,In,2018-12-08
Room Admin,2018-12-08 00:41:00,29,In,2018-12-08
